,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
81,Cro Magnon,The Concave > Little River Canyon > Alabama,https://www.mountainproject.com/route/112790252/cro-magnon,3.0,-1,Sport,5.13b,1,70.0,34.37859,-85.63084
82,Tarzan,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112813393/tarzan,2.7,-1,Sport,5.12b/c,1,55.0,34.36605,-85.66144
83,Word Up,The Concave > Little River Canyon > Alabama,https://www.mountainproject.com/route/118780279/word-up,3.0,-1,Sport,5.13b,1,75.0,34.37859,-85.63084
84,Scorpian Low,The Crazy House > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/113829353/scorpian-low,2.8,-1,Sport,5.7,1,70.0,34.36424,-85.65413000000001
85,Prodigal,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/118577553/prodigal,3.0,-1,Sport,5.13d,1,70.0,34.364979999999996,-85.66091999999999
86,Dig It,Unknown Wall > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/118060587/dig-it,3.0,-1,Sport,5.11c,1,75.0,34.36398,-85.65563
87,Millican,Lynn Overlook > Little River Canyon > Alabama,https://www.mountainproject.com/route/118586579/millican,3.0,-1,Sport,5.9+,1,40.0,34.38277,-85.62868
88,Area Unshackled,Unshackled > Little River Canyon > Alabama,https://www.mountainproject.com/route/118309229/area-unshackled,3.0,-1,Sport,5.13b,1,50.0,34.32235,-85.67426
89,Pod Right,The Concave > Little River Canyon > Alabama,https://www.mountainproject.com/route/118778653/pod-right,3.0,-1,Sport,5.12d,1,50.0,34.37859,-85.63084
90,Slip and Slide,Lynn Overlook > Little River Canyon > Alabama,https://www.mountainproject.com/route/118614879/slip-and-slide,3.0,-1,Trad,5.10d,1,100.0,34.38277,-85.62868
91,Thorazine,The Crazy House > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/118803062/thorazine,3.0,-1,Sport,5.11d,1,75.0,34.36424,-85.65413000000001
92,Scorpian,The Crazy House > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/113829364/scorpian,3.0,-1,Sport,5.12a,1,75.0,34.36424,-85.65413000000001
93,Slick Willie,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/117115362/slick-willie,3.0,-1,Sport,5.11d,1,60.0,34.36605,-85.66144
94,Good Wood,Unknown Wall > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/118183156/good-wood,3.0,-1,Sport,5.11c,1,,34.36398,-85.65563
95,Breakdown,Grace Falls > Little River Canyon > Alabama,https://www.mountainproject.com/route/119058978/breakdown,3.0,-1,Sport,5.12a,1,75.0,34.35929,-85.66846
96,And,Wave Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/119691023/and,3.0,-1,Sport,5.12b,1,65.0,34.363890000000005,-85.66332
97,Abandon,The Concave > Little River Canyon > Alabama,https://www.mountainproject.com/route/119904416/abandon,3.0,-1,Sport,5.13b/c,1,60.0,34.37859,-85.63084
98,Kin,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/116539956/kin,2.6,-1,Sport,5.11d,1,,34.3588,-85.67018
99,Cedar twist,The Crazy House > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/116689582/cedar-twist,2.7,-1,Sport,5.10c,1,65.0,34.36424,-85.65413000000001
100,Jesse James,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/118645941/jesse-james,2.8,-1,Sport,5.12a,1,70.0,34.3588,-85.67018
101,Demented,The Crazy House > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/117768116/demented,2.8,-1,Sport,5.12-,1,50.0,34.36424,-85.65413000000001
102,Grey Streak,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112844580/grey-streak,2.3,-1,Sport,5.11d,1,,34.3588,-85.67018
103,Bertha,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/116243008/bertha,2.7,-1,Sport,5.12b,1,,34.3588,-85.67018
104,Totem Pole,The Concave > Little River Canyon > Alabama,https://www.mountainproject.com/route/113431714/totem-pole,2.4,-1,Sport,5.11c,1,40.0,34.37859,-85.63084
105,Asylum,The Crazy House > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/116568126/asylum,2.5,-1,Sport,5.11d,1,50.0,34.36424,-85.65413000000001
106,Slo-lo,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/113773209/slo-lo,2.2,-1,Sport,5.11a,1,,34.364979999999996,-85.66091999999999
107,Dave's Corner,Rocktoberfest > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112818704/daves-corner,2.2,-1,Sport,5.11b/c,1,,34.36468,-85.65249
108,I Don't Have It,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/113943953/i-dont-have-it,1.8,-1,Sport,5.10a,1,40.0,34.364979999999996,-85.66091999999999
109,Agent Orange,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/116539945/agent-orange,2.5,-1,Sport,5.13a,1,,34.3588,-85.67018
110,whuuop!,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/113773187/whuuop,2.0,-1,Sport,5.11a,1,,34.364979999999996,-85.66091999999999
111,Stella Blue,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/114045687/stella-blue,2.1,-1,Sport,5.11b,1,,34.3588,-85.67018
112,Hueco Route,Rocktoberfest > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112790096/hueco-route,2.1,-1,Sport,5.12a,1,,34.36468,-85.65249
113,Clementine,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/115419015/clementine,2.3,-1,Sport,5.12a,1,50.0,34.3588,-85.67018
114,Cedar Poke,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/113773151/cedar-poke,1.8,-1,Sport,5.10c,1,,34.3588,-85.67018
115,Combat Zone,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/113943950/combat-zone,1.8,-1,Sport,5.11a,1,40.0,34.364979999999996,-85.66091999999999
116,Placebo,The Crazy House > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/115397184/placebo,2.0,-1,Sport,5.11c,1,50.0,34.36424,-85.65413000000001
117,Outpatient,The Crazy House > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/115397151/outpatient,2.0,-1,Sport,5.11d,1,50.0,34.36424,-85.65413000000001
118,Courtesy,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/115337431/courtesy,2.0,-1,Sport,5.11d,1,,34.364979999999996,-85.66091999999999
119,Ripple,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/118795393/ripple,2.0,-1,Sport,5.12a,1,60.0,34.3588,-85.67018
120,Isosceles,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/115337475/isosceles,2.0,-1,Sport,5.11c,1,,34.364979999999996,-85.66091999999999
121,Dave's Other Corner,Rocktoberfest > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112818698/daves-other-corner,2.0,-1,Sport,5.11b,1,,34.36468,-85.65249
122,Two Minute Hate,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/115337371/two-minute-hate,2.0,-1,Sport,5.12b/c,1,,34.364979999999996,-85.66091999999999
123,Pod,The Concave > Little River Canyon > Alabama,https://www.mountainproject.com/route/118778624/pod,2.0,-1,Sport,5.13a,1,50.0,34.37859,-85.63084
124,Reflex,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/115337458/reflex,2.0,-1,Sport,5.12c,1,,34.364979999999996,-85.66091999999999
125,JDR,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/117115321/jdr,2.0,-1,Sport,5.11d PG13,1,60.0,34.36605,-85.66144
126,Decay,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/116539939/decay,2.0,-1,Sport,5.12d,1,,34.3588,-85.67018
127,Verge of Making Millions,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/113943946/verge-of-making-millions,2.0,-1,Sport,5.11b,1,40.0,34.364979999999996,-85.66091999999999
128,Magellan,Lynn Overlook > Little River Canyon > Alabama,https://www.mountainproject.com/route/118608978/magellan,2.0,-1,Sport,5.9+,1,45.0,34.38277,-85.62868
129,Dave and Shep's Wild Ride,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/116725172/dave-and-sheps-wild-ride,2.0,-1,Sport,5.11b,1,,34.3588,-85.67018
130,Carrot,Lynn Overlook > Little River Canyon > Alabama,https://www.mountainproject.com/route/118639789/carrot,2.0,-1,Sport,5.11b,1,65.0,34.38277,-85.62868
