id,Avg Stars,Your Stars,Route Type,Pitches,Length,Area Latitude,Area Longitude,name,rating,starVotes,location,url,imgSqSmall,imgSmall,imgSmallMed,imgMedium
106302974,2.7,-1,Trad,1,,34.18027,-85.81621,Bull Ant (Champagne Jam Direct Start),5.11c/d,3,"['Alabama', 'Sand Rock', 'Grotto']",https://www.mountainproject.com/route/106302974/bull-ant-champagne-jam-direct-start,https://cdn2.apstatic.com/photos/climb/113277765_sqsmall_1499455186.jpg,https://cdn2.apstatic.com/photos/climb/113277765_small_1499455186.jpg,https://cdn2.apstatic.com/photos/climb/113277765_smallMed_1499455186.jpg,https://cdn2.apstatic.com/photos/climb/113277765_medium_1499455186.jpg
106302979,1.0,-1,Trad,1,,34.18027,-85.81621,Crucifix ( Hollowed Ground ),5.11b/c,1,"['Alabama', 'Sand Rock', 'Grotto']",https://www.mountainproject.com/route/106302979/crucifix-hollowed-ground,,,,
106302983,2.6,-1,Sport,1,,34.18027,-85.81621,Mud Wall,5.12d,13,"['Alabama', 'Sand Rock', 'Grotto']",https://www.mountainproject.com/route/106302983/mud-wall,https://cdn2.apstatic.com/photos/climb/109815798_sqsmall_1494363499.jpg,https://cdn2.apstatic.com/photos/climb/109815798_small_1494363499.jpg,https://cdn2.apstatic.com/photos/climb/109815798_smallMed_1494363499.jpg,https://cdn2.apstatic.com/photos/climb/109815798_medium_1494363499.jpg
106302987,2.7,-1,Sport,1,,34.18027,-85.81621,Fierce,5.12c/d,3,"['Alabama', 'Sand Rock', 'Grotto']",https://www.mountainproject.com/route/106302987/fierce,https://cdn2.apstatic.com/photos/climb/113489210_sqsmall_1503263591.jpg,https://cdn2.apstatic.com/photos/climb/113489210_small_1503263591.jpg,https://cdn2.apstatic.com/photos/climb/113489210_smallMed_1503263591.jpg,https://cdn2.apstatic.com/photos/climb/113489210_medium_1503263591.jpg
106302991,2.5,-1,Sport,1,,34.18027,-85.81621,Ascension,5.11b/c,22,"['Alabama', 'Sand Rock', 'Grotto']",https://www.mountainproject.com/route/106302991/ascension,https://cdn2.apstatic.com/photos/climb/113489148_sqsmall_1503262286.jpg,https://cdn2.apstatic.com/photos/climb/113489148_small_1503262286.jpg,https://cdn2.apstatic.com/photos/climb/113489148_smallMed_1503262286.jpg,https://cdn2.apstatic.com/photos/climb/113489148_medium_1503262286.jpg
106302996,2.0,-1,Sport,1,,34.18027,-85.81621,Crucified By Love,5.13a,1,"['Alabama', 'Sand Rock', 'Grotto']",https://www.mountainproject.com/route/106302996/crucified-by-love,https://cdn2.apstatic.com/photos/climb/113489192_sqsmall_1503263270.jpg,https://cdn2.apstatic.com/photos/climb/113489192_small_1503263270.jpg,https://cdn2.apstatic.com/photos/climb/113489192_smallMed_1503263270.jpg,https://cdn2.apstatic.com/photos/climb/113489192_medium_1503263270.jpg
106309114,3.0,-1,Sport,1,80.0,35.17953,-85.67775,Stun Gun,5.12a,24,"['Tennessee', 'Foster Falls', 'White Wall']",https://www.mountainproject.com/route/106309114/stun-gun,https://cdn2.apstatic.com/photos/climb/118271699_sqsmall_1579689612.jpg,https://cdn2.apstatic.com/photos/climb/118271699_small_1579689612.jpg,https://cdn2.apstatic.com/photos/climb/118271699_smallMed_1579689612.jpg,https://cdn2.apstatic.com/photos/climb/118271699_medium_1579689612.jpg
106311388,3.1,-1,Sport,1,35.0,34.18035,-85.81478,Price is Right,5.11a PG13,63,"['Alabama', 'Sand Rock', 'The Hole']",https://www.mountainproject.com/route/106311388/price-is-right,https://cdn2.apstatic.com/photos/climb/107996710_sqsmall_1494256161.jpg,https://cdn2.apstatic.com/photos/climb/107996710_small_1494256161.jpg,https://cdn2.apstatic.com/photos/climb/107996710_smallMed_1494256161.jpg,https://cdn2.apstatic.com/photos/climb/107996710_medium_1494256161.jpg
106311736,2.9,-1,Sport,1,40.0,34.17961,-85.8179,Cinco de Mayo,5.10c/d,106,"['Alabama', 'Sand Rock', 'Holiday Block']",https://www.mountainproject.com/route/106311736/cinco-de-mayo,https://cdn2.apstatic.com/photos/climb/114140002_sqsmall_1520363960.jpg,https://cdn2.apstatic.com/photos/climb/114140002_small_1520363960.jpg,https://cdn2.apstatic.com/photos/climb/114140002_smallMed_1520363960.jpg,https://cdn2.apstatic.com/photos/climb/114140002_medium_1520363960.jpg
106313913,2.8,-1,Trad,1,30.0,34.1799,-85.81751,A Little Help From My Friends,5.10c/d,8,"['Alabama', 'Sand Rock', 'Jaws Block/West Side Rock']",https://www.mountainproject.com/route/106313913/a-little-help-from-my-friends,,,,
106314703,1.2,-1,Sport,1,45.0,35.17669,-85.6842,Launch Pad,5.12,6,"['Tennessee', 'Foster Falls', 'Rocket Slab']",https://www.mountainproject.com/route/106314703/launch-pad,https://cdn2.apstatic.com/photos/climb/116160868_sqsmall_1543950131.jpg,https://cdn2.apstatic.com/photos/climb/116160868_small_1543950131.jpg,https://cdn2.apstatic.com/photos/climb/116160868_smallMed_1543950131.jpg,https://cdn2.apstatic.com/photos/climb/116160868_medium_1543950131.jpg
106319216,2.0,-1,Sport,1,35.0,34.180409999999995,-85.81555,Abandoned Ship,5.12d,1,"['Alabama', 'Sand Rock', 'Sun Wall']",https://www.mountainproject.com/route/106319216/abandoned-ship,,,,
106321783,2.8,-1,Sport,1,65.0,35.17702,-85.68673000000003,Mrs. Treated,5.11a,21,"['Tennessee', 'Foster Falls', 'The Red Light District']",https://www.mountainproject.com/route/106321783/mrs-treated,https://cdn2.apstatic.com/photos/climb/112212653_sqsmall_1494327057.jpg,https://cdn2.apstatic.com/photos/climb/112212653_small_1494327057.jpg,https://cdn2.apstatic.com/photos/climb/112212653_smallMed_1494327057.jpg,https://cdn2.apstatic.com/photos/climb/112212653_medium_1494327057.jpg
106387236,2.4,-1,Sport,1,50.0,35.17702,-85.68673000000003,Mammplitude,5.10a/b,60,"['Tennessee', 'Foster Falls', 'The Red Light District']",https://www.mountainproject.com/route/106387236/mammplitude,https://cdn2.apstatic.com/photos/climb/108387178_sqsmall_1494280265.jpg,https://cdn2.apstatic.com/photos/climb/108387178_small_1494280265.jpg,https://cdn2.apstatic.com/photos/climb/108387178_smallMed_1494280265.jpg,https://cdn2.apstatic.com/photos/climb/108387178_medium_1494280265.jpg
106447880,1.5,-1,Trad,1,80.0,34.17948,-85.81775,Magical Branding Iron,5.8,6,"['Alabama', 'Sand Rock', 'The Pinnacle']",https://www.mountainproject.com/route/106447880/magical-branding-iron,https://cdn2.apstatic.com/photos/climb/115154245_sqsmall_1535907697.jpg,https://cdn2.apstatic.com/photos/climb/115154245_small_1535907697.jpg,https://cdn2.apstatic.com/photos/climb/115154245_smallMed_1535907697.jpg,https://cdn2.apstatic.com/photos/climb/115154245_medium_1535907697.jpg
106494055,2.3,-1,Sport,1,30.0,34.180409999999995,-85.81555,Muffins are Burning,5.10c,36,"['Alabama', 'Sand Rock', 'Sun Wall']",https://www.mountainproject.com/route/106494055/muffins-are-burning,https://cdn2.apstatic.com/photos/climb/107037815_sqsmall_1494161053.jpg,https://cdn2.apstatic.com/photos/climb/107037815_small_1494161053.jpg,https://cdn2.apstatic.com/photos/climb/107037815_smallMed_1494161053.jpg,https://cdn2.apstatic.com/photos/climb/107037815_medium_1494161053.jpg
106508340,2.1,-1,Sport,1,,35.1561,-85.67333,Premarital Drilling,5.10b,108,"['Tennessee', 'Foster Falls', 'The Left Bunker']",https://www.mountainproject.com/route/106508340/premarital-drilling,https://cdn2.apstatic.com/photos/climb/107247279_sqsmall_1494176152.jpg,https://cdn2.apstatic.com/photos/climb/107247279_small_1494176152.jpg,https://cdn2.apstatic.com/photos/climb/107247279_smallMed_1494176152.jpg,https://cdn2.apstatic.com/photos/climb/107247279_medium_1494176152.jpg
106518426,2.3,-1,Sport,1,50.0,35.17879,-85.68004,Foster Child,5.10d,26,"['Tennessee', 'Foster Falls', 'The Dihedrals']",https://www.mountainproject.com/route/106518426/foster-child,,,,
